id,name,state,populationPercent,type,entityType,labelsOrTypes,properties,indexProvider,owningConstraint,lastRead,readCount
7,activity_clash_index,ONLINE,100.0,RANGE,NODE,[activity],"[actStartDate, actStartTime, actEndTime]",range-1.0,null,null,0
19,graphid_demoRoom_uniq,ONLINE,100.0,RANGE,NODE,[demoRoom],[graphid],range-1.0,graphid_demoRoom_uniq,2024-08-15T18:24:22.793000000Z,8952
4,index_12b79beb,ONLINE,100.0,RANGE,NODE,[activity],[actEndTime],range-1.0,null,null,0
6,index_207d313,ONLINE,100.0,RANGE,NODE,[activity],[id],range-1.0,null,null,0
8,index_241bd22f,ONLINE,100.0,RANGE,NODE,[room],[roomName],range-1.0,null,2024-08-15T18:40:06.645000000Z,106
9,index_2d375d70,ONLINE,100.0,RANGE,NODE,[room],[roomLatitude],range-1.0,null,2024-08-15T18:40:06.645000000Z,107
0,index_343aff4e,ONLINE,100.0,LOOKUP,NODE,null,null,token-lookup-1.0,null,2024-08-15T18:43:42.502000000Z,116667
10,index_43c5c824,ONLINE,100.0,RANGE,NODE,[room],[roomLongitude],range-1.0,null,2024-08-15T18:40:06.646000000Z,106
2,index_6acb9a84,ONLINE,100.0,RANGE,NODE,[activity],[actStartDate],range-1.0,null,2024-08-15T16:11:25.850000000Z,81
5,index_7ade165f,ONLINE,100.0,RANGE,NODE,[activity],[actModSplusID],range-1.0,null,2024-08-15T18:40:06.638000000Z,148
1,index_f7700477,ONLINE,100.0,LOOKUP,RELATIONSHIP,null,null,token-lookup-1.0,null,2024-08-15T13:53:33.557000000Z,134
3,index_f86013e,ONLINE,100.0,RANGE,NODE,[activity],[actStartTime],range-1.0,null,null,0
18,lat_demoRoom,ONLINE,100.0,RANGE,NODE,[demoRoom],[lat],range-1.0,null,null,0
17,lon_demoRoom,ONLINE,100.0,RANGE,NODE,[demoRoom],[lon],range-1.0,null,null,0
16,rm_cat_demoRoom,ONLINE,100.0,RANGE,NODE,[demoRoom],[rm_cat],range-1.0,null,null,0
13,rm_id_demoRoom_uniq,ONLINE,100.0,RANGE,NODE,[demoRoom],[rm_id],range-1.0,rm_id_demoRoom_uniq,2024-08-15T18:25:31.243000000Z,57296
15,rm_type_demoRoom,ONLINE,100.0,RANGE,NODE,[demoRoom],[rm_type],range-1.0,null,null,0
11,room_fulltext_index,ONLINE,100.0,FULLTEXT,NODE,[room],"[roomName, roomDescription, roomType, roomCapacity]",fulltext-1.0,null,2024-08-15T18:40:02.441000000Z,87
12,room_geo_index,ONLINE,100.0,FULLTEXT,NODE,[room],"[roomLatitude, roomLongitude]",fulltext-1.0,null,2024-08-15T18:40:02.457000000Z,6